z_um,w1_um
0.0,0.1
28.429832895004555,0.1392857142857143
58.57535577904576,0.1785714285714286
90.83421250834004,0.2178571428571429
125.00671127715404,0.2571428571428572
159.40240203799596,0.2964285714285715
191.48271757936573,0.33571428571428574
218.9157851411273,0.375
240.60805175002272,0.41428571428571437
257.33424922163397,0.4535714285714286
270.17973189610825,0.4928571428571429
280.1122012837873,0.5321428571428573
288.0745674510321,0.5714285714285715
294.57774430866795,0.6107142857142858
300.0,0.65
