width_um,neff1,neff2,neff3,te2,te3
0.8,1.6711251990163072,1.6206620780101844,1.6067561401519264,0.02496281370650831,0.9902563241168159
0.8785714285714286,1.6826047932251733,1.6299611301708166,1.6149518571301789,0.025627096827642543,0.9792670347739669
0.9571428571428572,1.6926805077822755,1.6381646822061993,1.6231700477167206,0.027199275966414336,0.9629499995427305
1.0357142857142856,1.7012689976333355,1.6451900378096496,1.631337585411835,0.029296526604795866,0.9527680682086878
1.1142857142857143,1.7086685779379143,1.6513909734316874,1.6393042432334823,0.03323220235872735,0.9458378837567757
1.1928571428571428,1.715136758448587,1.656885927734037,1.6469545913310881,0.04092580987237205,0.9371595305185544
1.2714285714285714,1.7208214232047354,1.6617337095509015,1.654163063466468,0.05580702427285885,0.9218532332447046
1.35,1.7257900673070568,1.6661271223363792,1.6608351094569078,0.09198603388956127,0.884344676426696
1.4285714285714284,1.7300985376837632,1.670318234108664,1.6669009186208077,0.2004028336063941,0.7710963851586573
1.5071428571428571,1.7339934128252024,1.6751079856166613,1.6725822431265416,0.5392643223759247,0.42624686815378904
1.5857142857142856,1.7374233429746233,1.6810253917449143,1.6777107717298878,0.8460588196015315,0.12936572689874526
1.6642857142857141,1.7404250255705915,1.6871418368208722,1.682317670371341,0.9328891128319386,0.048715028316416754
1.7428571428571427,1.7431598072004493,1.6930767367049704,1.6865888651024519,0.9600065859506413,0.02439006810126924
1.8214285714285712,1.7456135408579891,1.6985667721523345,1.6904679470457666,0.9713143864605803,0.014750414752453176
1.9,1.747801949958792,1.7035649742002876,1.6939802681038596,0.9766674241477824,0.010507307775705611
