gap_nm,R = 5 um,R = 10 um,R = 20 um
100.0,0.02239670547981388,0.044453465868438874,0.08755955615489164
105.12820512820512,0.020521987904469543,0.04075843347868102,0.08038425203192803
110.25641025641026,0.018803185974547724,0.03736652082927074,0.07378099698097323
115.38461538461539,0.017227495622830172,0.03425351295836955,0.06770678283589095
120.51282051282051,0.015783137776692793,0.031397022771449734,0.06212140340052815
125.64102564102564,0.014459280653058772,0.0287763708662458,0.056987347059924386
130.76923076923077,0.013245967215269683,0.026372470135793604,0.052269678594595026
135.8974358974359,0.012134047577303457,0.02416771558293877,0.04793591409626576
141.02564102564102,0.011115116124062374,0.02214587961458404,0.04395589212172237
146.15384615384616,0.010181453106594442,0.020292012952045427,0.04030164358267233
151.2820512820513,0.009325970466669848,0.018592351189605776,0.03694726233633876
156.4102564102564,0.0085421616449575,0.017034226951973194,0.0338687779986583
161.53846153846155,0.007824055130169509,0.015605987538854622,0.03104403213599072
166.66666666666669,0.007166171512172492,0.014296917897869755,0.028452558690496184
171.7948717948718,0.006563483809566214,0.01309716873271024,0.026075469248657966
176.92307692307693,0.006011380851073274,0.01199768952941464,0.023895343563094452
182.05128205128207,0.005505633499845111,0.010990166267896426,0.02189612557730508
187.17948717948718,0.005042363520135396,0.010066963576762787,0.020063025074942703
192.30769230769232,0.004618014896444275,0.009221071085630412,0.018382424974109343
197.43589743589746,0.004229327425989764,0.008446053729437413,0.01684179420843355
202.56410256410257,0.0038733124160450797,0.0077360057627346825,0.015429606076355242
207.6923076923077,0.0035472303281682788,0.007085508247843893,0.014135261894832092
212.82051282051285,0.003248570221548474,0.006489589788468175,0.012949019760809456
217.94871794871796,0.002975030857527658,0.00594369028932238,0.011861928200925216
223.0769230769231,0.0027245033367844416,0.005443627532204198,0.010865764475127873
228.2051282051282,0.0024950551496501117,0.0049855663693234836,0.009952977291528529
233.33333333333334,0.002284915528550271,0.004565990345383665,0.0091166336865657
238.46153846153848,0.002092461999619427,0.004181675570660043,0.008350369825309479
243.5897435897436,0.001916208038119615,0.00382966667798129,0.007648345480563131
248.71794871794873,0.0017547917394146223,0.0035072547069781115,0.007005201955587227
253.84615384615384,0.0016069654239187314,0.003211956769113174,0.0064160232231556535
258.97435897435895,0.0014715861006687903,0.0029414973567935825,0.005876300062767506
264.1025641025641,0.0013476067199763508,0.0026937911692367974,0.005381896987776216
269.2307692307693,0.0012340681510233451,0.002466927336686587,0.004929021764640821
274.35897435897436,0.0011300918252877463,0.002259154933038135,0.00451419733719983
279.4871794871795,0.0010348729913482494,0.0020688696749243873,0.004134235979611876
284.6153846153846,0.000947674530936859,0.0018946017128391706,0.0037862155122501268
289.7435897435897,0.0008678212901083598,0.0017350044269336274,0.003467457425254986
294.87179487179486,0.0007946948830943115,0.0015888441467329741,0.0031755067645580204
300.0,0.0007277289298268703,0.0014549907201943791,0.002908113644922246
