Lc_um,kappa2
0.0,0.0
1.0025062656641603,0.0001354076004116373
2.0050125313283207,0.0005404986064873105
3.007518796992481,0.00121188709278167
4.010025062656641,0.0021439613045893193
5.012531328320802,0.0033289305634123896
6.015037593984962,0.004756890384813481
7.017543859649122,0.006415905264370867
8.020050125313283,0.008292108439775193
9.022556390977442,0.010369817795213055
10.025062656641603,0.012631666939258565
11.027568922305765,0.015058750360667325
12.030075187969924,0.017630781448798066
13.032581453634084,0.02032626205785908
14.035087719298245,0.023122662197688174
15.037593984962406,0.025996608349133338
16.040100250626566,0.02892407883001253
17.042606516290725,0.03188060457869998
18.045112781954884,0.034841473677102774
19.047619047619047,0.037781937903536754
20.050125313283207,0.0406774195890433
21.052631578947366,0.04350371704815308
22.05513784461153,0.04623720686701739
23.05764411027569,0.04885504135809569
24.06015037593985,0.05133533953098795
25.062656641604008,0.05365736998319533
26.065162907268167,0.05580172418212859
27.06766917293233,0.0577504786899994
28.07017543859649,0.05948734497564816
29.07268170426065,0.06099780556111671
30.075187969924812,0.062269235364994166
31.07769423558897,0.06329100722829559
32.08020050125313,0.06405458074084298
33.08270676691729,0.06455357362569923
34.08521303258145,0.06478381508499285
35.08771929824561,0.06474338066124663
36.09022556390977,0.06443260832282369
37.092731829573935,0.06385409563904199
38.095238095238095,0.0630126780685691
39.097744360902254,0.061915388542571816
40.100250626566414,0.06057139868044253
41.10275689223057,0.0589919421294462
42.10526315789473,0.057190220669048775
43.10776942355889,0.05518129386474713
44.11027568922306,0.05298195319372171
45.11278195488722,0.05061058169442397
46.11528822055138,0.04808700031320773
47.11779448621554,0.045432302232305925
48.1203007518797,0.042668676563910726
49.122807017543856,0.039819222883998105
50.125313283208015,0.036907758156103324
51.127819548872175,0.03395861765886146
52.130325814536334,0.030996451581246753
53.1328320802005,0.028046018985655338
54.13533834586466,0.02513198086097705
55.13784461152882,0.022278693995407838
56.14035087719298,0.019510007391902905
57.14285714285714,0.016849062927917886
58.1453634085213,0.014318101925610385
59.14786967418546,0.011938279249271086
60.150375939849624,0.009729486483838633
61.152882205513784,0.007710185672448554
62.15538847117794,0.005897255002709443
63.1578947368421,0.004305847731527194
64.16040100250626,0.0029492655276443405
65.16290726817043,0.0018388472905524703
66.16541353383458,0.000983874375076971
67.16791979949875,0.00039149301380796104
68.1704260651629,6.665458580445004e-05
69.17293233082707,1.2074230831345383e-05
70.17543859649122,0.00022820815504960527
71.17794486215539,0.0007132498178482633
72.18045112781954,0.0014631450316904533
73.1829573934837,0.002471625848762469
74.18546365914787,0.003730262951186433
75.18796992481202,0.005228536106896845
76.19047619047619,0.006953922102280228
77.19298245614034,0.008891999416598712
78.19548872180451,0.011026568763284197
79.19799498746866,0.013339788490566003
80.20050125313283,0.015812323709696194
81.203007518797,0.018423507904293483
82.20551378446115,0.021151515670005734
83.20802005012531,0.023973545140658515
84.21052631578947,0.026866008576092403
85.21303258145363,0.029804729518674775
86.21553884711778,0.03276514487056567
87.21804511278195,0.035722510202690176
88.22055137844612,0.038652106579354646
89.22305764411027,0.041529447169778876
90.22556390977444,0.04433048191959508
91.22807017543859,0.04703179857158077
92.23057644110276,0.049610818355408585
93.23308270676691,0.052045984710752106
94.23558897243107,0.054316943466320135
95.23809523809523,0.05640471296880387
96.2406015037594,0.058291842739727
97.24310776942356,0.05996255933407545
98.24561403508771,0.06140289818155771
99.24812030075188,0.06260082030850994
100.25062656641603,0.06354631296483312
101.2531328320802,0.06423147331487944
102.25563909774435,0.06465057449276297
103.25814536340852,0.06480011346997636
104.26065162907267,0.06467884033521466
105.26315789473684,0.06428776874167351
106.265664160401,0.06363016743449823
107.26817042606515,0.0627115329292013
108.27067669172932,0.06153954356941366
109.27318295739347,0.06012399534797515
110.27568922305764,0.058476720027798745
111.27819548872179,0.056611486246890365
112.28070175438596,0.054543884434130364
113.28320802005013,0.052291196497740965
114.28571428571428,0.04987225137563957
115.28822055137844,0.047307267655049653
116.2907268170426,0.04461768457682387
117.29323308270676,0.04182598283701647
118.29573934837092,0.038955496683524625
119.29824561403508,0.03603021887837426
120.30075187969925,0.03307460015586111
121.3032581453634,0.030113344852762007
122.30576441102757,0.027171204418826526
123.30827067669172,0.024272770533479045
124.31077694235589,0.02144226955794905
125.31328320802004,0.018703360040889683
126.3157894736842,0.016078934970017774
127.31829573934836,0.01359093042264333
128.32080200501252,0.011260142214468971
129.32330827067668,0.009106052079187611
130.32581453634086,0.00714666483174504
131.328320802005,0.005398357876326899
