dw_out_nm,sr_upper
0.0,0.5000000000000001
5.0,0.7733738647804371
10.0,0.859833327457472
15.0,0.9036947908240195
20.0,0.9221995770240313
25.0,0.9307948051127107
30.0,0.9324715547870651
35.0,0.9410102414646431
40.0,0.9438282740762781
45.0,0.9444429053698536
50.0,0.9424359047598864
